axis_a,axis_b,excess_mean,n_donors,p_donor,q_donor,coupled_q05,coupled_q10,is_benchmark,pair_status
GM-CSF,IL-35,0.017536689430151298,10,0.001953125,0.011979166666666667,True,True,False,
IL-36-alpha,IL-6,0.01745943225434293,10,0.0009765625,0.007486979166666667,True,True,False,WEAK_a_to_b
CD30L,VEGF,0.017251021811819596,10,0.0009765625,0.007486979166666667,True,True,False,UNKNOWN
IL-16,IL-36-alpha,0.017082388383214887,10,0.0048828125,0.023235452586206896,True,True,False,
GM-CSF,IL-6,0.017059417400995026,10,0.005859375,0.02487980769230769,True,True,False,
Decorin,TGF-beta1,0.01665640114604131,10,0.0009765625,0.007486979166666667,True,True,False,
Decorin,IL-9,0.01664387445248987,10,0.0107421875,0.042354910714285716,True,True,False,UNKNOWN
IL-1-beta,IL-12,0.01597326957499203,10,0.0009765625,0.007486979166666667,True,True,False,
IL-13,IL-17A,0.01558599318985058,10,0.005859375,0.02487980769230769,True,True,False,
IFN-beta,IL-6,0.015567670722046626,10,0.0068359375,0.028159981343283583,True,True,False,
IL-36-alpha,TGF-beta1,0.01550895698854457,10,0.0048828125,0.023235452586206896,True,True,False,
IFN-omega,IL-6,0.015131921005313811,10,0.0009765625,0.007486979166666667,True,True,False,
TGF-beta1,VEGF,0.01504691388134075,10,0.0009765625,0.007486979166666667,True,True,False,
IL-9,TL1A,0.014917495984422125,10,0.0009765625,0.007486979166666667,True,True,False,
Decorin,TNF-alpha,0.014771427416607086,10,0.005859375,0.02487980769230769,True,True,False,
IFN-lambda1,IL-16,0.014394647684758122,10,0.001953125,0.011979166666666667,True,True,False,
IL-15,IL-27,0.013888869523678135,10,0.0419921875,0.1259765625,False,False,False,
IL-17A,VEGF,0.01381200340616962,10,0.0009765625,0.007486979166666667,True,True,False,
CD30L,IL-17A,0.013565628352048604,10,0.0009765625,0.007486979166666667,True,True,True,DIRECTIONAL_a_to_b
IL-36-alpha,TNF-alpha,0.013122989455966844,10,0.0126953125,0.04735008445945946,True,True,False,
CD30L,IL-13,0.012983903523696504,10,0.03125,0.09801136363636363,False,True,False,
CD30L,IL-27,0.012895876112515511,10,0.0078125,0.03125,True,True,False,UNKNOWN
IFN-lambda1,TL1A,0.012804295179312641,10,0.001953125,0.011979166666666667,True,True,False,
TNF-alpha,VEGF,0.01264266336903624,10,0.0009765625,0.007486979166666667,True,True,False,
IFN-lambda1,IL-10,0.012315067478820033,10,0.00390625,0.019252232142857144,True,True,False,
IL-2,IL-6,0.012232754662956879,10,0.001953125,0.011979166666666667,True,True,False,
GM-CSF,IL-16,0.011917149073079876,10,0.0009765625,0.007486979166666667,True,True,False,
IL-9,VEGF,0.011837553160022132,10,0.005859375,0.02487980769230769,True,True,True,DIRECTIONAL_a_to_b
GM-CSF,IL-10,0.011820892932946267,10,0.025390625,0.08443147590361445,False,True,False,
