axis_a,axis_b,literature_status,literature_direction,expected_sign,cross_median,cross_consensus,cross_n_pos,cross_n_neg,classification,cross_sign_correct,null_n_perms,cross_null_mean,cross_null_q025,cross_null_q975,cross_p_emp_two_sided,dirscore_median,dirscore_consensus,dirscore_sign_correct,dirscore_p_emp_two_sided,dir_n_perms,dir_n_celltypes,dir_null_center,dir_null_q025,dir_null_q975,dir_p_emp,median_score,sign_consensus,sign_correct,error
IFNg,IL2,NK_IFNG,b_to_a,-1.0,-0.06291067600250244,0.7692307692307693,3,10,STRONG,True,100,-0.0004919440113008022,-0.01621332047507167,0.015754861943423744,0.0,0.07318928837776184,1.0,False,0.0,0,0,,,,,-0.06291067600250244,0.7692307692307693,True,
IL10,IL2,UNKNOWN,no_lit,,0.01107373833656311,0.6923076923076923,9,4,WEAK,False,100,-0.00212037293240428,-0.010257619246840478,0.006594816781580441,0.02,-0.0014113187789916992,0.6153846153846154,False,0.77,0,0,,,,,0.01107373833656311,0.6923076923076923,False,
IL18,IL4,UNKNOWN,no_lit,,0.0243222713470459,0.5833333333333334,7,5,WEAK,False,100,0.0030308385752141477,-0.01024824003688991,0.01571816222276538,0.0,0.08023834228515625,0.8333333333333334,False,0.0,0,0,,,,,0.0243222713470459,0.5833333333333334,False,
IL12,IL6,UNKNOWN,no_lit,,0.03448835015296936,0.8461538461538461,11,2,STRONG,False,100,0.004101132974028587,-0.0028906792402267458,0.011975549720227718,0.0,0.007790267467498779,0.6923076923076923,False,0.07,0,0,,,,,0.03448835015296936,0.8461538461538461,False,
IL12,IL1b,UNKNOWN,no_lit,,0.03598412871360779,0.6153846153846154,8,5,WEAK,False,100,0.007861432321369648,-0.0014400619082152843,0.0209422655403614,0.0,0.0052470862865448,0.6153846153846154,False,0.54,0,0,,,,,0.03598412871360779,0.6153846153846154,False,
IL1b,TNFa,OVERLAP_NFKB,no_lit,,0.01848292350769043,0.7692307692307693,10,3,STRONG,False,100,-0.004486752348020673,-0.01751452786847949,0.008486817823722957,0.03,0.0015673637390136719,0.5384615384615384,False,0.77,0,0,,,,,0.01848292350769043,0.7692307692307693,False,
IL18,TNFa,UNKNOWN,no_lit,,-0.006356358528137207,0.5384615384615384,6,7,AMBIGUOUS,False,100,0.0016325422190129758,-0.009397881478071213,0.015783987520262593,0.37,0.03246298432350159,0.9230769230769231,False,0.0,0,0,,,,,-0.006356358528137207,0.5384615384615384,False,
IFNg,TNFa,UNKNOWN,no_lit,,-0.005985766649246216,0.5384615384615384,6,7,AMBIGUOUS,False,100,0.0008094004448503256,-0.012908834032714367,0.014574102871119973,0.34,0.07158869504928589,1.0,False,0.0,0,0,,,,,-0.005985766649246216,0.5384615384615384,False,
IL15,IL4,UNKNOWN,no_lit,,0.07206743955612183,0.9166666666666666,11,1,STRONG,False,100,0.0016433532675728202,-0.011862845835275948,0.01879810509271919,0.0,0.061364129185676575,0.75,False,0.0,0,0,,,,,0.07206743955612183,0.9166666666666666,False,
IL18,IL6,UNKNOWN,no_lit,,0.05516970157623291,1.0,13,0,STRONG,False,100,0.004011323852464557,-0.009332504589110613,0.01749869845807552,0.0,0.00549161434173584,0.6923076923076923,False,0.43,0,0,,,,,0.05516970157623291,1.0,False,
IL2,TNFa,UNKNOWN,no_lit,,0.014518648386001587,0.5384615384615384,7,6,WEAK,False,100,-0.0007613386958837509,-0.0166113399900496,0.015548467729240633,0.08,0.000649869441986084,0.5384615384615384,False,0.96,0,0,,,,,0.014518648386001587,0.5384615384615384,False,
IL12,TNFa,UNKNOWN,no_lit,,-0.008572101593017578,0.5384615384615384,6,7,AMBIGUOUS,False,100,0.00159584978595376,-0.011852017696946859,0.012578004039824,0.14,0.01224905252456665,0.6153846153846154,False,0.09,0,0,,,,,-0.008572101593017578,0.5384615384615384,False,
IFNb,TNFa,UNKNOWN,no_lit,,0.012470275163650513,0.5384615384615384,7,6,WEAK,False,100,-0.0005747092887759209,-0.01831837249919772,0.03559838272631168,0.26,0.24855393171310425,1.0,False,0.0,0,0,,,,,0.012470275163650513,0.5384615384615384,False,
IFNg,IL6,UNKNOWN,no_lit,,0.04683321714401245,1.0,13,0,STRONG,False,100,0.0017169469222426414,-0.00490343077108264,0.013774699531495554,0.0,0.09194272756576538,1.0,False,0.0,0,0,,,,,0.04683321714401245,1.0,False,
IL15,TNFa,UNKNOWN,no_lit,,0.028352588415145874,0.6923076923076923,9,4,WEAK,False,100,0.0010650126822292804,-0.013893115241080523,0.01808805558830497,0.0,0.020273149013519287,0.6923076923076923,False,0.03,0,0,,,,,0.028352588415145874,0.6923076923076923,False,
IL13,IL18,UNKNOWN,no_lit,,-0.01107245683670044,0.8461538461538461,2,11,STRONG,False,100,-0.004193502338603139,-0.015705222077667714,0.00678611751645803,0.14,0.05415670573711395,1.0,False,0.0,0,0,,,,,-0.01107245683670044,0.8461538461538461,False,
IL13,IL2,UNKNOWN,no_lit,,-0.010019034147262573,0.7692307692307693,3,10,STRONG,False,100,-0.0006372105330228805,-0.011099646985530853,0.011337821278721091,0.11,0.014541983604431152,0.6923076923076923,False,0.04,0,0,,,,,-0.010019034147262573,0.7692307692307693,False,
IL15,IL2,OVERLAP_STAT5,no_lit,,0.014719069004058838,0.6923076923076923,9,4,WEAK,False,100,0.0014749025274068117,-0.01217180397361517,0.02075899830088018,0.05,0.013679474592208862,0.9230769230769231,False,0.03,0,0,,,,,0.014719069004058838,0.6923076923076923,False,
IL1b,IL4,UNKNOWN,no_lit,,0.02294120192527771,0.75,9,3,STRONG,False,100,-0.006074068993330002,-0.022177048260346055,0.009973711799830197,0.01,0.06383392214775085,0.8333333333333334,False,0.0,0,0,,,,,0.02294120192527771,0.75,False,
IL12,IL18,UNKNOWN,no_lit,,0.0035237669944763184,0.5384615384615384,7,6,AMBIGUOUS,False,100,-0.00018910487182438373,-0.013545937463641166,0.013053282722830763,0.54,0.0334240198135376,0.8461538461538461,False,0.0,0,0,,,,,0.0035237669944763184,0.5384615384615384,False,
IL4,TNFa,UNKNOWN,no_lit,,-0.01702834665775299,0.8333333333333334,2,10,STRONG,False,100,0.0009761449042707682,-0.015576620446518063,0.01291070338338613,0.02,0.06879730522632599,1.0,False,0.0,0,0,,,,,-0.01702834665775299,0.8333333333333334,False,
IL1b,IL2,UNKNOWN,no_lit,,-0.005896866321563721,0.5384615384615384,6,7,AMBIGUOUS,False,100,-0.004928529411554337,-0.01837519104592502,0.01027869670651852,0.45,0.015622884035110474,0.7692307692307693,False,0.05,0,0,,,,,-0.005896866321563721,0.5384615384615384,False,
IL10,IL15,UNKNOWN,no_lit,,-0.013406068086624146,0.8461538461538461,2,11,STRONG,False,100,-0.0037352772522717716,-0.01711070854216814,0.007463213708251712,0.09,0.03762272000312805,1.0,False,0.0,0,0,,,,,-0.013406068086624146,0.8461538461538461,False,
IL10,IL18,UNKNOWN,no_lit,,0.0008988380432128906,0.6153846153846154,8,5,AMBIGUOUS,False,100,-0.006513967653736472,-0.01999671198427677,0.002909794216975568,0.94,0.054745495319366455,0.9230769230769231,False,0.0,0,0,,,,,0.0008988380432128906,0.6153846153846154,False,
IFNb,IL12,UNKNOWN,no_lit,,-0.004191577434539795,0.5384615384615384,6,7,AMBIGUOUS,False,100,-0.002479292768985033,-0.020394451124593614,0.032510834001004664,0.8,0.2951235771179199,1.0,False,0.0,0,0,,,,,-0.004191577434539795,0.5384615384615384,False,
IFNg,IL13,UNKNOWN,no_lit,,0.009021878242492676,0.5384615384615384,7,6,AMBIGUOUS,False,100,0.0010922928433865309,-0.0076009408105164765,0.01575290020555256,0.07,0.10945340991020203,1.0,False,0.0,0,0,,,,,0.009021878242492676,0.5384615384615384,False,
IFNg,IL1b,UNKNOWN,no_lit,,0.016738951206207275,0.6923076923076923,9,4,WEAK,False,100,0.004940177686512471,-0.008514338824898004,0.016730587184429158,0.03,0.09884268045425415,1.0,False,0.0,0,0,,,,,0.016738951206207275,0.6923076923076923,False,
IL15,IL6,UNKNOWN,no_lit,,0.035067737102508545,1.0,13,0,STRONG,False,100,0.0036931270081549884,-0.0060791983269155025,0.02151250848546624,0.0,0.020321905612945557,0.6923076923076923,False,0.02,0,0,,,,,0.035067737102508545,1.0,False,
IFNb,IL10,UNKNOWN,no_lit,,0.020837008953094482,0.8461538461538461,11,2,STRONG,False,100,0.0036550550162792205,-0.012177788279950618,0.037746821390464876,0.13,0.28965097665786743,1.0,False,0.0,0,0,,,,,0.020837008953094482,0.8461538461538461,False,
IFNg,IL4,ANTAGONISM,no_lit,,0.01553007960319519,0.6666666666666666,8,4,WEAK,False,100,-0.0008282310981303453,-0.011896411702036858,0.010110218031331893,0.02,0.16715627908706665,1.0,False,0.0,0,0,,,,,0.01553007960319519,0.6666666666666666,False,
IFNg,IL10,UNKNOWN,no_lit,,-0.01121598482131958,0.6923076923076923,4,9,WEAK,False,100,0.002788962936028838,-0.0064587022177875035,0.014455907512456158,0.05,0.1275532841682434,1.0,False,0.0,0,0,,,,,-0.01121598482131958,0.6923076923076923,False,
IL18,IL1b,UNKNOWN,no_lit,,0.016962260007858276,0.6153846153846154,8,5,WEAK,False,100,0.007067010793834924,-0.006809229962527752,0.02207400416955352,0.11,0.07696658372879028,1.0,False,0.0,0,0,,,,,0.016962260007858276,0.6153846153846154,False,
IL13,IL15,UNKNOWN,no_lit,,-0.017010897397994995,0.6153846153846154,5,8,WEAK,False,100,-0.00231543711386621,-0.017856203578412534,0.0087673308327794,0.04,0.08472374081611633,1.0,False,0.0,0,0,,,,,-0.017010897397994995,0.6153846153846154,False,
IFNb,IL13,UNKNOWN,no_lit,,0.04767116904258728,0.9230769230769231,12,1,STRONG,False,100,0.002668392900377512,-0.01385649312287569,0.035966593073680955,0.01,0.33590957522392273,1.0,False,0.0,0,0,,,,,0.04767116904258728,0.9230769230769231,False,
IFNb,IL4,UNKNOWN,no_lit,,0.0031912922859191895,0.5,6,6,AMBIGUOUS,False,100,-0.0011427366524003446,-0.020569877605885266,0.027248877007514213,0.76,0.3711237907409668,1.0,False,0.0,0,0,,,,,0.0031912922859191895,0.5,False,
IFNb,IL6,UNKNOWN,no_lit,,-0.007989645004272461,0.7692307692307693,3,10,AMBIGUOUS,False,100,0.00266693196259439,-0.01417289050295949,0.03796282224357124,0.35,0.30783888697624207,1.0,False,0.0,0,0,,,,,-0.007989645004272461,0.7692307692307693,False,
